From,To,Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
Horizon 2020,LIGHTEST,,Funding Flow,,,,,,,,,
enisa European Network and Information Security Agency,European Union,,Government Connection,,,,,,,,,
Gemalto,Secure Identity Alliance,,Executive Member,,,,,,,,,
ACE - Authentication and Authorization of Constrained Environments,IETF,,Organization for Group,,,,,,,,,
United States Government,Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,,Funding Flow,,,,,,,,,
EEMA,Future Trust,,General Member,,,,,,,,,
FutureID,LIGHTEST,,Connection,,,,,,,,,
Bob West,Global Identity Foundation,,Executive Member,,,,,,,,,
Justin Richer,OAuth Dynamic Client Registration (RFC7591),,Author,,,,,,,,,
Financial Transaction Cards 4909,Financial Transaction Cards WG7,,Specification of Group,,,,,,,,,
Platform Identity Management Nederland (PIMN),Identity Law & Policy Workshop Amsterdam,,Sponsor,,,,,,,,,
New Zealand,Privacy Commissioner (Te Mana Matapono Matatapu),,,,,,,,,,,
ELSA,epSOS,,Connection,,,,,,,,,
7th Framework Programme,FastPass,,Funding Flow,,,,,,,,,
World Bank,International Identity Law and Policy Workshop,,Sponsor,,,,,,,,,
Ministry of Interior Republic of Serbia,Government of Serbia,,Government Connection,,,,,,,,,
IEEE Computer Society,IEEE SecDev 2016,,Convenor,,,,,,,,,
Open Signature Initiative,European Trust Foundation,,Executive Member,,,,,,,,,
Mike Jones,OAuth 2.0 Form Post Response Mode,,Author,,,,,,,,,
Chuck Mortimore,OpenID Connect Core 1.0,,Author,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper: Update on Privacy and Security Issues in Internet Telephony (VoIP) and Related Communication Technologies,,Author,,,,,,,,,
TNO,Identity and Privacy Lab  (PI.lab),,Organization for Group,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper Privacy by Design and Smart Metering: Minimize Personal Information to Maintain Privacy,,Author,,,,,,,,,
Tim Bray,Google,,Employee,,,,,,,,,
Paul Grassi,National Strategy for Trusted Identities in Cyberspace (NSTIC) - National Program Office,,Employee,,,,,,,,,
IBM Research - Zurich,Trust in Digital Life,,General Member,,,,,,,,,
EXPAND,eHealth Digital Service Infrastructure,,Connection,,,,,,,,,
Symantec,OIX-UK,,Executive Member,,,,,,,,,
Number Resource Organization (NRO),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
European Commission,ISA2 Interoperability Solutions for European Public Administrators,,Government Connection,,,,,,,,,
Altus Busines Systems,OIX-UK,,General Member,,,,,,,,,
N. Agarwal,OpenID Connect Session Management 1.0,,Author,,,,,,,,,
European Union,European Commission,,Connection,,,,,,,,,
PwC,Future Trust,,General Member,,,,,,,,,
EAP ACR Values,Enhanced Authentication Profile Working Group,,Specification of Group,,,,,,,,,
Maciej Machulak,UMA Profile of OAuth 2.o,,Author,,,,,,,,,
eBorders,Secure Identity Alliance,,Organization for Group,,,,,,,,,
Privacy Management Reference Model,OASIS,,Organization for Group,,,,,,,,,
Digital Signature Services (DSS) TC,OASIS,,Organization for Group,,,,,,,,,
berlin Commissioner for Data Protection and Freedom of Information,The International Conference of Data Protection and Privacy Commissioners,,General Member,,,,,,,,,
Government Digital Service,UK Government,,Government Connection,,,,,,,,,
eIDAS,CEF Building Blocks / CEF Digital Portal,,Government Connection,,,,,,,,,
The Internet Technical Advisory Committee,OECD (The Organisation for Economic Co-operation and Development),,Organization for Group,,,,,,,,,
Rebecka Gulliksson,OpenID Connect Federation 1.0,,Author,,,,,,,,,
Online Identity,Understanding your Online Identity Learning to Protect your Identity,,Author,,,,,,,,,
DoNotTrack.Us,Do Not Track: A Universal Third-Party Web Tracking Opt Out,,Similar Efforts/Projects/Work,,,,,,,,,
"ATIS   The Alliance for Telecommunications Industry Solutions, USA",3rd Generation Partnership Project (3GPP),,Executive Member,,,,,,,,,
Internet Research Task Force IRTF,HRPC Human Rights Protocol Considerations Research Group,,Organization for Group,,,,,,,,,
Enhanced Authentication Profile Working Group,OpenID Foundation,,Organization for Group,,,,,,,,,
Don Thibeau,Identity in the Cloud,,Person Affiliated,,,,,,,,,
Privacy Considerations for Web Protocols,Privacy Considerations for Internet Protocols,,Connection,,,,,,,,,
Semantic Interoperability Community (SEMIC),e-Government Core Vocabularies,,Organization for Group,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on Location Tracking from Communications of Mobile Devices,,Author,,,,,,,,,
Records and Information from DMVs for E-Verify (RIDE),American Association of Motor Vehicle Administrators,,,,,,,,,,,
Linux Foundation,HyperLedger,,,,,,,,,,,
Social Security Online Verification (SSOLV),American Association of Motor Vehicle Administrators,,Organization for Group,,,,,,,,,
Connecting Europe Facility,CEF Energy,,Government Connection,,,,,,,,,
Health Relationship Trust Profile for OAuth 2.0,HEART Working Group,,Specification of Group,,,,,,,,,
Platform Identity Management Nederland (PIMN),European Trust Foundation,,Executive Member,,,,,,,,,
The Secure Information Technology Center – Austria (A-SIT),Future Trust,,General Member,,,,,,,,,
Service Function Chaining  (sfc),IETF,,Organization for Group,,,,,,,,,
Don Thibeau,OpenID Foundation,,Chair / Vice Chair,,,,,,,,,
PayPal,OIX-UK,,Executive Member,,,,,,,,,
The Internet Technical Advisory Committee,OECD Committee on Digital Economy Policy,,Connection,,,,,,,,,
"TTC  Telecommunication Technology Committee, Japan",3rd Generation Partnership Project (3GPP),,Executive Member,,,,,,,,,
Fraunhofer Group for Defense and Security VVS,Future Security: Security Research Conference,,Convenor,,,,,,,,,
7th Framework Programme,ABC4Trust,,Funding Flow,,,,,,,,,
Electronic Identity Credential Trust Elevation Methods (Trust Elevation) TC,OASIS,,Organization for Group,,,,,,,,,
VoteID 2015,e-Voting and Identity,,Author,,,,,,,,,
Information technology – Personal identification – ISO- compliant driving license (18013),Motor Vehicle Drivers Licence and Related Documents WG10,,Specification of Group,,,,,,,,,
Anthony Nadalin,Financial API Working Group,,Chair / Vice Chair,,,,,,,,,
Tracking Preference Expression (DNT),The Tracking Protection Working Group,,Specification of Group,,,,,,,,,
Communication: EU eGovernment Action Plan 2016-2020 - Accelerating the digital transformation of government,eIDAS,,Connection,,,,,,,,,
Microsoft,OIX-UK,,Executive Member,,,,,,,,,
B. de Medeiros,Google,,Employee,,,,,,,,,
Chuck Mortimore,Salesforce,,Employee,,,,,,,,,
J. Connotte,Deutsche Telekom,,Employee,,,,,,,,,
OAuth Token Introspection (RFC7662),OAuth WG,,Specification of Group,,,,,,,,,
7th Framework Programme,SSEDIC - Scoping the Single European Digital Identity Community,,Funding Flow,,,,,,,,,
B. Hjelm,MODRNA Registration,,Author,,,,,,,,,
Trust Elevation TC,OASIS,,Organization for Group,,,,,,,,,
CBOR Object Signing and Encryption (COSE),IETF,,Organization for Group,,,,,,,,,
Identity Event Subscription Protocol,IETF,,Organization for Group,,,,,,,,,
Consent Receipt Specification,Usable Consents: Tracking and Managing Use of Personal Data With a Consent Transaction Receipt,,Author,,,,,,,,,
enisa European Network and Information Security Agency,ISSE Information Security Solutions Europe,,Sponsor,,,,,,,,,
SDNRG Software-Defined Networking Research Group,ETSI  The European Telecommunications Standards Institute,,Connection,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""","Working Paper and Recommendations on the Publication of Personal Data on the Web, Website Contents Indexing and the Protection of Privacy",,Author,,,,,,,,,
American Association of Motor Vehicle Administrators,Electronic Verification of Vital Events (EVVE),,Customer of Service / Company,,,,,,,,,
Digital Authentication Guideline,National Institute of Standards (NIST),,Organization for Group,,,,,,,,,
Thomas Hardjono,Kerberos Consortium,,Employee,,,,,,,,,
Steve Moyle,Global Identity Foundation,,Executive Member,,,,,,,,,
FIDO 2.0: Web API for accessing FIDO 2.0 credentials,FIDO Alliance,,Organization for Group,,,,,,,,,
LSEC – Leaders In Security,European Trust Foundation,,Executive Member,,,,,,,,,
Cryptography and Security Mechanisms WG2,ISO/IEC JTC 1 / SC27 IT Security Techniques,,Organization for Group,,,,,,,,,
Eve Maler,Blockchain and Smart Contracts Discussion Group,,Person Affiliated,,,,,,,,,
Nat Sakimura,OpenID Connect Session Management 1.0,,Author,,,,,,,,,
ETSI  The European Telecommunications Standards Institute,Global Standards Collaboration,,General Member,,,,,,,,,
IEEE Technical Committee on Security and Privacy,2nd IEEE European Symposium on Security and Privacy,,Convenor,,,,,,,,,
Multicast Security (MSEC),IETF,,Organization for Group,,,,,,,,,
Internet Architecture Board (IAB),IETF,,Organization for Group,,,,,,,,,
Identification cards – Thin flexible cards (15457),Physical Characteristics and Test Methods WG1,,Specification of Group,,,,,,,,,
OWL,W3C,,Organization for Group,,,,,,,,,
B. de Medeiros,OAuth 2.0 Multiple Response Type Encoding Practices,,Author,,,,,,,,,
FutureID,Future ID Presenation,,Author,,,,,,,,,
D. Salama,Google,,Employee,,,,,,,,,
SSEDIC.2020 - Scoping the Single European Digital Identity Community for the next decade,European Trust Foundation,,Executive Member,,,,,,,,,
Mike Jones,Microsoft,,Employee,,,,,,,,,
IESG -  Internet Engineering Steering Group,Internet Research Task Force IRTF,,Connection,,,,,,,,,
Chair of Mobile Business & Multilateral Security,Goethe University: Frankfurt,,Organization for Group,,,,,,,,,
Maciej Machulak,Synergetics,,Employee,,,,,,,,,
The ID Co.,Trust in Digital Life,,General Member,,,,,,,,,
eID,eIDAS-Node,,,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",berlin Commissioner for Data Protection and Freedom of Information,,Organization for Group,,,,,,,,,
RADIUS - Remote Authentication Dial In User Service,Network Working Group,,Organization for Group,,,,,,,,,
Kyla Reid,Digital Identity Programme,,Chair / Vice Chair,,,,,,,,,
Web Authentication,W3C,,Organization for Group,,,,,,,,,
Economy & Society,Digitizing European Industry,,Government Connection,,,,,,,,,
"DG Connect European Commission's Directorate General for Communications Networks, Content & Technology",eID,Implementation of the EU Policy,Government Connection,,,,,,,,,
Secure Identity Alliance,Digital Identity: Towards Shared Principles for Public and Private Sector Cooperation A joint World Bank Group – GSMA – Secure Identity Alliance Discussion Paper,,Author,,,,,,,,,
Personal Data,GSMA,,Organization for Group,,,,,,,,,
U.S. Department of Health and Human Services,US National Information Exchange Model,,Sponsor,,,,,,,,,
NWCRG Network Coding Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
Token Bound Authentication,OpenID Connect Core 1.0,,Connection,,,,,,,,,
Thomas Hardjono,Identity in the Cloud,,Person Affiliated,,,,,,,,,
Tim Bray,OpenID AccountChooser Basic API Profile 1.0,,Author,,,,,,,,,
Biometrics WG11,ISO/IEC JTC1/SC17,,Organization for Group,,,,,,,,,
ISO/IEC JTC 1/SC 37 Biometrics,ISO/IEC,,Organization for Group,,,,,,,,,
Hannes Tschofenig,Privacy Considerations for Web Protocols,,Author,,,,,,,,,
International Electrotechnical Commission (IEC),Global Standards Collaboration,,General Member,,,,,,,,,
Privacy Commissioner (Te Mana Matapono Matatapu),The International Conference of Data Protection and Privacy Commissioners,,General Member,,,,,,,,,
enisa European Network and Information Security Agency,Annual Privacy Forum,,Convenor,,,,,,,,,
Phil Hunt,OpenID Connect Profile for SCIM Services,,Author,,,,,,,,,
XACML,OASIS,,Organization for Group,,,,,,,,,
ITU-T  International Telecommunication Union,EEMA,,Collaboration Partner / Affiliate,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",web paymentsReport and Guidance on Road Pricing - ”Sofia Memorandum”,,Author,,,,,,,,,
US Citizenship and Immigration Services,USCIS US Citizenship and Immigration Services - Department of Homeland Security,,Government Connection,,,,,,,,,
The Federal Office of Administration (BVA),Future Trust,,,,,,,,,,,
National Strategy for Trusted Identities in Cyberspace (NSTIC) - National Program Office,Identity Ecosystem Steering Group,,Sponsor,,,,,,,,,
University of Karlstad,"Department of Computer Science, Privacy and Security Group.",,Organization for Group,,,,,,,,,
Identity Management and Privacy Technologies WG5,ISO/IEC JTC 1 / SC27 IT Security Techniques,,Organization for Group,,,,,,,,,
David Singer,Apple,,Employee,,,,,,,,,
Nat Sakimura,Financial API Working Group,,Chair / Vice Chair,,,,,,,,,
Central Bank of Austria,The Secure Information Technology Center – Austria (A-SIT),,Funding Flow,,,,,,,,,
"Israeli Law, Information and Technology Authority",The Evolving Role of the Individual in Privacy Protection: 30 Years after the OECD Privacy Guidelines,,Convenor,,,,,,,,,
John Bradley,OpenID Connect Dynamic Client Registration 1.0,,Author,,,,,,,,,
Future of Identity in the Information Society (FIDIS),Interoperability of Identities and Identity Management Systems,,Author,,,,,,,,,
CEF Building Blocks / CEF Digital Portal,eInvoicing,,Government Connection,,,,,,,,,
Global Identity Foundation,Why Identity 3.0?,,Author,,,,,,,,,
IEEE Internet of Things,Intl Workshop on Secure IoT (SIOT 2016),,Convenor,,,,,,,,,
Identity Verification Project,North American Security Products Organization,,Organization for Group,,,,,,,,,
Google,OIX-UK,,Executive Member,,,,,,,,,
National Strategy for Trusted Identities in Cyberspace,National Strategy for Trusted Identities in Cyberspace (NSTIC) - National Program Office,,Connection,,,,,,,,,
Horizon 2020,WITDOM (empoWering prIvacy and securiTy in non-trusteD envirOnMents),,Funding Flow,,,,,,,,,
ICCRG Internet Congestion Control Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
Social Security Administration,United States Government,,Government Connection,,,,,,,,,
John Bradley,MODRNA Authentication Profile,,Author,,,,,,,,,
EFF,Privacy Badger,,Organization for Group,,,,,,,,,
Token Bound Authentication,Enhanced Authentication Profile Working Group,,Specification of Group,,,,,,,,,
John Bradley,MODRNA Registration,,Author,,,,,,,,,
Cogito Group,OIX-UK,,General Member,,,,,,,,,
Contactless Integrated Circuit(s) cards WG8,ISO/IEC JTC1/SC17,,Organization for Group,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on Big Data and Privacy Privacy principles under pressure in the age of Big Data analytics,,Author,,,,,,,,,
Horizon 2020,Future Trust,,Funding Flow,,,,,,,,,
Pam Dingle,AccountChooser Integration API Profile 1.0,,Author,,,,,,,,,
TF UN Cooperation AHG2,ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
Chair of Mobile Business & Multilateral Security,Goethe University: Frankfurt,,,,,,,,,,,
John Bradley,OpenID Connect Discovery 1.0,,,,,,,,,,,
FIDO 2.0: Signature format,FIDO Alliance,,Organization for Group,,,,,,,,,
LexisNexis,OIX-UK,,Executive Member,,,,,,,,,
Hannes Tschofenig,Privacy Considerations for Internet Protocols,,Author,,,,,,,,,
ELSA,SSEDIC - Scoping the Single European Digital Identity Community,,Connection,,,,,,,,,
Privacy Considerations for Internet Protocols,HRPC Human Rights Protocol Considerations Research Group,,Connection,,,,,,,,,
ITU-T  International Telecommunication Union,Global Standards Collaboration,,General Member,,,,,,,,,
Mobile Connect Initiative,Personal Data,,Organization for Group,,,,,,,,,
USCIS US Citizenship and Immigration Services - Department of Homeland Security,Department of Homeland Security,,Government Connection,,,,,,,,,
"Tilburg Institute of Law, Technology, and Society (TILT)",Identity and Privacy Lab  (PI.lab),,Organization for Group,,,,,,,,,
SAP,Trust in Digital Life,,General Member,,,,,,,,,
Web Crypto API,W3C,,Organization for Group,,,,,,,,,
"Tilburg Institute of Law, Technology, and Society (TILT)","How Data Portability in Big Data affects Individuals, Innovation and Competition",,Funding Flow,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on Privacy and Electronic Micropayment on the Internet,,Author,,,,,,,,,
The Federal Computing Centre of Austria – Bundesrechenzentrum (BRZ),The Secure Information Technology Center – Austria (A-SIT),,Funding Flow,,,,,,,,,
DSS - XSD supporting ITU-T X.509 certificate version 3 rules in the eIDAS trusted list,eIDAS-Node,,,,,,,,,,,
UK  Cabinet Office,Government Digital Service,,Connection,,,,,,,,,
Mobile Connect Initiative,MONDRNA,,Connection,,,,,,,,,
R. Hedberg,OpenID Connect Federation 1.0,,Author,,,,,,,,,
Terminology WG1,ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
Don Thibeau,Open Identity Exchange,,Chair / Vice Chair,,,,,,,,,
Royal Mail,GOV.UK Verify,,Certified IdP,,,,,,,,,
Web Payments Interest Group,Web Payment Activity,,Organization for Group,,,,,,,,,
7th Framework Programme,MobilePass,,Funding Flow,,,,,,,,,
ICNRG Information-Centric Networking Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,Biometric Recognition: Challenges and Opportunities,,Author,,,,,,,,,
Identity Law & Policy Workshop Amsterdam,International Identity Law and Policy Workshop,,Similar Efforts/Projects/Work,,,,,,,,,
CCSA  China Communications Standards Association,3rd Generation Partnership Project (3GPP),,Executive Member,,,,,,,,,
European Commission,ePrivacy Directive,,Author,,,,,,,,,
OAuth WG,IETF,,Organization for Group,,,,,,,,,
ESIF: Emergency Services Interconnection Forum,"ATIS   The Alliance for Telecommunications Industry Solutions, USA",,Organization for Group,,,,,,,,,
Innovate UK,Digital Catapult,,Connection,,,,,,,,,
Mike Jones,OAuth 2.0 Multiple Response Type Encoding Practices,,Author,,,,,,,,,
B. Campbell,Token Bound Authentication,,Author,,,,,,,,,
Rebecka Gulliksson,UmU,,Employee,,,,,,,,,
international Association for Cryptologic Research,AsiaCrypt,,Convenor,,,,,,,,,
Horizon 2020,CREDENTIAL,,Funding Flow,,,,,,,,,
IEEE Computer Society,IEEE Standards Organization,,Organization for Group,,,,,,,,,
Dale Olds,VMWare,,Employee,,,,,,,,,
ISA2 Interoperability Solutions for European Public Administrators,National Interoperability Framework Observatory (NIFO),,Government Connection,,,,,,,,,
Privacy by Design Documentation for Software Engineers (PbD-SE) TC,OASIS,,Organization for Group,,,,,,,,,
IDTrust Member Section,OASIS,,Organization for Group,,,,,,,,,
Access IS,Document Security Alliance,,General Member,,,,,,,,,
Mike Jones,OpenID Connect Dynamic Client Registration 1.0,,Author,,,,,,,,,
European Commission,Data protection Directive,,Author,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper Event Data Recorders (EDR) on Vehicles Privacy and data protection issues for governments and manufacturers,,Author,,,,,,,,,
Experian,GOV.UK Verify,,Certified IdP,,,,,,,,,
The Institute for Law and the Web at the University of Southampton (ILAWS),Future Trust,,General Member,,,,,,,,,
Web Security Interest Group,W3C,,Organization for Group,,,,,,,,,
Equifax,OIX-UK,,Executive Member,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",The Granada Charter of Privacy in a Digital World,,Author,,,,,,,,,
OpenID Connect Front-Channel Logout 1.0,AB/Connect Working Group,,Specification of Group,,,,,,,,,
Secure Identity,GOV.UK Verify,,Certified IdP,,,,,,,,,
Web Platform Working Group,W3C,,Organization for Group,,,,,,,,,
Internet Society ISOC,Privacy and Identity,,Organization for Group,,,,,,,,,
Issuer Identification Numbers (IINs) / Application Provider Identifiers (RIDs)  WG5,ISO/IEC JTC1/SC17,,Organization for Group,,,,,,,,,
Thomas Hardjono,Multicast Security (MSEC),,Chair / Vice Chair,,,,,,,,,
Mark Lizar,Consent and Information Sharing Working  Group,,Chair / Vice Chair,,,,,,,,,
SDNRG Software-Defined Networking Research Group,"ATIS   The Alliance for Telecommunications Industry Solutions, USA",,Connection,,,,,,,,,
IEEE Computer Society,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
CASED (Center for Advanced Security Research Darmstadt),Trust in Digital Life,,General Member,,,,,,,,,
Microsoft Belgium NV,Microsoft,,Organization for Group,,,,,,,,,
Identification cards – Recording technique (7811),Physical Characteristics and Test Methods WG1,,Specification of Group,,,,,,,,,
Public Service Development Agency,Georgian Government,,Government Connection,,,,,,,,,
Josh Mandel,Harvard Medical School Department of Biomedical Informatics,,Employee,,,,,,,,,
Future Trust,European Trust Service Status List (TSL),,Organization for Group,,,,,,,,,
B. Campbell,Ping Identity,,Employee,,,,,,,,,
Horizon 2020,SSEDIC.2020 - Scoping the Single European Digital Identity Community for the next decade,,Funding Flow,,,,,,,,,
Blockchain and Smart Contracts Discussion Group,Kantara,,Organization for Group,,,,,,,,,
RIPE NCC - The Réseaux IP Européens Network Coordination Centre,Number Resource Organization (NRO),,General Member,,,,,,,,,
eGov Working Group,Kantara,,Organization for Group,,,,,,,,,
3rd Generation Partnership Project (3GPP),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
MobilePass,Future Security: Security Research Conference,,,,MobilePass is presenting at the conference,,,,,,,
IDnext,Trust in Digital World,,Convenor,,"What is IDnext association?
The main mission of the IDnext association is to be an open and independent platform to support and facilitate innovative approaches in the world of the Digital identity, create awareness about the Digital Identity, provide a knowledge and networking platform for experts in IT, Business and Marketers as a European center of expertise, and to ensure that everyone connected with the association stays at the forefront of technology, services and business by supporting innovation and by stimulating and supporting knowledge exchange and collaboration.
IDnext provides a single point of entry for (leading) IT and Business professionals throughout Europe. IDnext can be your starting point to connect, collaborate and find specific information related to Digital Identity and acts a community.

IDnext disseminates knowledge and experience by organizing events, master classes and workshops. On a variety of themes, using expertise within the world of IT and Business, it is further an independent not-for-profit network organization. 

IDnext is a membership organization. Joining IDnext helps us to engage in (innovative) project/programmes, busines development and other type of actvitiies (e.g. events, workshops, masterclasses) to strengthen our mission in the world of digital identity.

Partnership

IDnextplatform is a partnership organization. Although you can participate without a paid partnership, joining helps us to engage in (innovative) project-programmes, business development and also organize events and workshops to strengthen our mission in the world of Digital Identity.",,,,,,,
Privacy Commissioner of Canada (Commissariat à la protection de la vie privée du Canada),The International Conference of Data Protection and Privacy Commissioners,,General Member,,,,,,,,,
B. de Medeiros,OpenID Connect Core 1.0,,Author,,,,,,,,,
Ping Identity,OIX-UK,,Executive Member,,,,,,,,,
The Federal Computing Centre of Austria – Bundesrechenzentrum (BRZ),Future Trust,,General Member,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,IDs -- Not That Easy:  Questions About Nationwide Identity Systems,,Author,,,,,,,,,
CloudAuthZ Cloud Authorization TC,OASIS,,Organization for Group,,,,,,,,,
ISO/TC 292 Security and Resilience,ISO/IEC,,Organization for Group,,,,,,,,,
SDNRG Software-Defined Networking Research Group,MEF,,Connection,,,,,,,,,
7th Framework Programme,FutureID,,Funding Flow,,,,,,,,,
Kyla Reid,Digital Identity Programme,,Employee,,,,,,,,,
Justice Ministry in Israel,Israeli Government,,Government Connection,,,,,,,,,
European Commission,7th Framework Programme,,Government Connection,,,,,,,,,
AB/Connect Working Group,OpenID Foundation,,Organization for Group,,,,,,,,,
e-CODEX,CEF Building Blocks / CEF Digital Portal,,Connection,,,,,,,,,
eInvoicing,eInvoicing Introduction,,Author,,,,,,,,,
DoNotTrack.Us,User Submitted Terms,,Similar Efforts/Projects/Work,,,,,,,,,
Connecting Europe Facility,CEF Transportation,,Government Connection,,,,,,,,,
Paul Simmonds,Global Identity Foundation,,Executive Member,,,,,,,,,
Web of Things Interest Group,Web of Things Community Group,,Connection,,,,,,,,,
Justin Richer,Health Relationship Trust Profile for User Managed Access 1.0,,Author,,,,,,,,,
ISO/IEC JTC1/SC17,ISO/IEC,,Organization for Group,,,,,,,,,
IEEE Technical Committee on Security and Privacy,IEEE SecDev 2016,,Sponsor,,,,,,,,,
Automomica,DNSSEC,,Author,,,,,,,,,
Identification cards – Machine readable travel documents – Part 2: Machine readable visas,Machine Readable Travel Documents WG3,,Specification of Group,,,,,,,,,
ISA2 Interoperability Solutions for European Public Administrators,Semantic Interoperability Community (SEMIC),,Government Connection,,,,,,,,,
Lawtrust,Future Trust,,General Member,,,,,,,,,
Electronic Identification Cards (7816),Integrated Circuit Cards with Contacts WG4,,Specification of Group,,,,,,,,,
IOC: International Mobile Subscriber Identity (IMSI) Oversight Council,"ATIS   The Alliance for Telecommunications Industry Solutions, USA",,Organization for Group,,,,,,,,,
P. Tarjan,Facebook,,Employee,,,,,,,,,
Online Identity,Understanding your Online Identity: An Overview of Identity,,Author,,,,,,,,,
Digital Signature Services eXtended (DSS-X) TC,OASIS,,Organization for Group,,,,,,,,,
Nat Sakimura,Nomura Research Institute,,Employee,,,,,,,,,
Mike Jones,OpenID Connect Session Management 1.0,,Author,,,,,,,,,
Identification cards – Identification of issuers (7812),Issuer Identification Numbers (IINs) / Application Provider Identifiers (RIDs)  WG5,,Specification of Group,,,,,,,,,
U.S. Department of Health and Human Services,United States Government,,Government Connection,,,,,,,,,
Edmund Jay,OpenID Connect Discovery 1.0,,Author,,,,,,,,,
Paul Grassi,iGov Working Group,,Chair / Vice Chair,,,,,,,,,
PCH - Packet Clearing House,DNSSEC,,Author,,,,,,,,,
DoNotTrack.Us,Center for Internet and Society,,Specification of Group,,,,,,,,,
Nominet,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
