From,To,Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
Study Group 17,ITU-T  International Telecommunication Union,,Organization for Group,,,,,,,,,
B. Hjelm,Verizon,,Employee,,,,,,,,,
ecsec GmbH,Future Trust,,General Member,,,,,,,,,
UK  Cabinet Office,UK Government,,Government Connection,,,,,,,,,
Innovation and Networks Executive Agency,CEF Telecom,,Funding Flow,,,,,,,,,
Jim Hazard,Blockchain and Smart Contracts Discussion Group,,Chair / Vice Chair,,,,,,,,,
Communication Group AHG1,ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
MODRNA Registration,MONDRNA,,Specification of Group,,,,,,,,,
Flightmap,Trust in Digital Life,,General Member,,,,,,,,,
7th Framework Programme,Smart Society Project,,Funding Flow,,,,,,,,,
The Scientific & Technological Research Council of Turkey (TUBITAK),Turkish Government,,Government Connection,,,,,,,,,
Integrated Circuit Cards with Contacts WG4,ISO/IEC JTC1/SC17,,Organization for Group,,,,,,,,,
User Managed Access,Kantara,,Organization for Group,,,,,,,,,
CitizenSafe,GOV.UK Verify,,Certified IdP,,,,,,,,,
Giesecke & Devrient (G&D),Future Trust,,General Member,,,,,,,,,
Neeraj Suri,"DEEDS - Dependable, Embedded Systems and Software",,Chair / Vice Chair,,,,,,,,,
CCSA  China Communications Standards Association,Global Standards Collaboration,,General Member,,,,,,,,,
Health Relationship Trust Profile for User Managed Access 1.0,HEART Working Group,,Specification of Group,,,,,,,,,
Digital Footprint Videos,Privacy and Identity,,Specification of Group,,,,,,,,,
SURF Net,Trust in Digital Life,,General Member,,,,,,,,,
Systematic Alien Verification for Entitlements SAVE,US Citizenship and Immigration Services,,Government Connection,,,,,,,,,
European Commission,"DG Connect European Commission's Directorate General for Communications Networks, Content & Technology",,Government Connection,,,,,,,,,
Virginia Electronic Identity Management Act,International Identity Law and Policy Workshop,,Connection,,,,,,,,,
Mike Jones,OpenID Connect Core 1.0,,Author,,,,,,,,,
D. Salama,AccountChooser Integration API Profile 1.0,,Author,,,,,,,,,
Ku Leuven,LSEC – Leaders In Security,,Founder,,,,,,,,,
Address Supporting Organization,Number Resource Organization (NRO),,Connection,,,,,,,,,
Jericho Forum,Global Identity Foundation,,Connection,,,,,,,,,
Mike Jones,OpenID Connect Back-Channel Logout 1.0,,Author,,,,,,,,,
United Nations Commission on International Trade Law,United Nations,,Government Connection,,,,,,,,,
Web Authentication API,Web Authentication,,Organization for Group,,,,,,,,,
Consult Hyperion,OIX-UK,,General Member,,,,,,,,,
T. Lodderstedt,Deutsche Telekom,,Employee,,,,,,,,,
GOV.UK Verify,UK Government,,Government Connection,,,,,,,,,
Tracking Preference Expression (DNT),User Submitted Terms,,Similar Efforts/Projects/Work,,,,,,,,,
National Strategy for Trusted Identities in Cyberspace (NSTIC) - National Program Office,Identity Ecosystem Steering Group,,,,,,,,,,,
John Bradley,iGov Working Group,,Chair / Vice Chair,,,,,,,,,
enisa European Network and Information Security Agency,Privacy by Design in Big Data,,Author,,,,,,,,,
"DG Connect European Commission's Directorate General for Communications Networks, Content & Technology",eIDAS,,Government Connection,,,,,,,,,
AFRINIC (African Network Information Center),Number Resource Organization (NRO),,General Member,,,,,,,,,
eSignature,eSignature Introduction,,Author,,,,,,,,,
Identity Law & Policy Workshop Amsterdam,Report: International Law and Policy Workshop 2,,Author,,,,,,,,,
EEMA,enisa European Network and Information Security Agency,,Collaboration Partner / Affiliate,,,,,,,,,
White House - Office of Science and Technology Policy,United States Government,,Government Connection,,,,,,,,,
Keith Institute,Personal Data Project,,Connection,,,,,,,,,
Consent and Information Sharing Working  Group,Kantara,,Organization for Group,,,,,,,,,
Trustable Ltd.,Future Trust,,General Member,,,,,,,,,
Emergency Management WG3,ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
OpenID AccountChooser Basic API Profile 1.0,Account Chooser,,Specification of Group,,,,,,,,,
Blockchain Working Group,ATTPS Achieving The Trust Paradigm Shift,,Author,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on Mobile processing of Personal Data and Security,,Author,,,,,,,,,
Department of Homeland Security,United States Government,,Government Connection,,,,,,,,,
"HEART profile for FHIR UMA resource set types, scopes, and claims-gathering flows",HEART Working Group,,Specification of Group,,,,,,,,,
Identity in the Cloud,OASIS,,Organization for Group,,,,,,,,,
7th Framework Programme,STORK,,Funding Flow,,,,,,,,,
John Bradley,Token Bound Authentication,,Author,,,,,,,,,
RDF,W3C,,Organization for Group,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,Protecting Individual Privacy in the Struggle Against Terrorists: A Framework for Program Assessment,,Author,,,,,,,,,
National Institute of Standards (NIST),United States Government,,Government Connection,,,,,,,,,
Digital Log Book,OIX-UK,,General Member,,,,,,,,,
European Data Protection Supervisor (Contrôleur européen de la protection des données),European Union,,Government Connection,,,,,,,,,
epSOS,OpenNPC,,Connection,,The code went from the epSOS project to OpenNPC and is being stewarded by the eHealth Digital Service Infrastructure which is part of the Connecting Europe Facility.,,,,,,,
European Commission,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs (DG GROWTH )",,Government Connection,,,,,,,,,
Machine Readable Travel Documents WG3,ISO/IEC JTC1/SC17,,Organization for Group,,,,,,,,,
Future of Identity in the Information Society (FIDIS),Identity Management and Privacy Technologies WG5,,Connection,,,,,,,,,
SDNRG Software-Defined Networking Research Group,DMTF Distributed Management Task Force Inc.,,Connection,,,,,,,,,
IEEE Internet of Things,IEEE Computer Society,,Organization for Group,,,,,,,,,
Söderhamn Kommun,ABC4Trust,,General Member,,,,,,,,,
ETSI  The European Telecommunications Standards Institute,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
John Bradley,Ping Identity,,Employee,,,,,,,,,
Address Supporting Organization,Internet Corporation for Assigned Names and Numbers (ICANN),,Connection,,,,,,,,,
Internet Society ISOC,The Internet Technical Advisory Committee,,Chair / Vice Chair,,,,,,,,,
IESG -  Internet Engineering Steering Group,IETF,,Organization for Group,,,,,,,,,
W3C,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
"Authenticity, Integrity and Trust for Products and Documents  WG4",ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
User Submitted Terms,Consent and Information Sharing Working  Group,,Specification of Group,,,,,,,,,
Information technology — Identification cards — On-Card matching (24787),Biometrics WG11,,Specification of Group,,,,,,,,,
IEEE Standards Organization,IEEE Computer Society,,Connection,,,,,,,,,
Financial Transaction Cards WG7,ISO/IEC JTC1/SC17,,Organization for Group,,,,,,,,,
Secure Identity Alliance,Civil Registry Consolidation through Digital Identity Management,,Author,,,,,,,,,
Verizon,OIX-UK,,Executive Member,,,,,,,,,
Andrew Nash,confyrm,,Employee,,,,,,,,,
Chair for Information Security and Cryptography at the University of Trier,OAuth Security Workshop 2016,,Convenor,,,,,,,,,
National Strategy for Trusted Identities in Cyberspace,Identity Ecosystem Steering Group,,Connection,,,,,,,,,
North American Security Products Organization,ANCI,,Connection,,,,,,,,,
CitizenSafe,OIX-UK,,General Member,,,,,,,,,
Information Commissioner’s Office,UK Government,,Government Connection,,,,,,,,,
NXP Semiconductors,Trust in Digital Life,,General Member,,,,,,,,,
Digidentity,GOV.UK Verify,,Certified IdP,,,,,,,,,
Cookie Clearinghouse,Privacy Badger,,Connection,,,,,,,,,
Internet Corporation for Assigned Names and Numbers (ICANN),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Imprimerie Nationale,Secure Identity Alliance,,Executive Member,,,,,,,,,
Digital Identity Programme,GSMA,,Organization for Group,,,,,,,,,
The Internet Technical Advisory Committee,Guidelines on the Protection of Privacy and Transborder Flows of Personal Data,,Author,,,,,,,,,
Nat Sakimura,AccountChooser Integration API Profile 1.0,,Author,,,,,,,,,
Austrian Federal Ministry of Finance,The Secure Information Technology Center – Austria (A-SIT),,Funding Flow,,,,,,,,,
Trust in Digital Life,Trust in Digital World,,Convenor,,,,,,,,,
UMA Developer,Kantara,,Organization for Group,,,,,,,,,
Jericho Forum,“Identity” Commandments,,Author,,,,,,,,,
Netnod,Automomica,,Founder,,,,,,,,,
"TTC  Telecommunication Technology Committee, Japan",Global Standards Collaboration,,General Member,,,,,,,,,
Barclays,GOV.UK Verify,,Certified IdP,,,,,,,,,
US National Information Exchange Model,e-Government Core Vocabularies,,Connection,,,,,,,,,
SDNRG Software-Defined Networking Research Group,IETF,,Connection,,,,,,,,,
CEF Telecom,Non-paper on the IT Governance of CEF Building Block Digital Service Infrastructures (DSIs),,Author,,,,,,,,,
Optical Memory Cards WG9,ISO/IEC JTC1/SC17,,Organization for Group,,,,,,,,,
P. Tarjan,OAuth 2.0 Multiple Response Type Encoding Practices,,Author,,,,,,,,,
United States Government,United Nations,,Government Connection,,,,,,,,,
Israeli Government,"Israeli Law, Information and Technology Authority",,Government Connection,,,,,,,,,
iGov Working Group,OpenID Foundation,,Organization for Group,,,,,,,,,
Web Payment Activity,W3C,,Organization for Group,,,,,,,,,
Avoco,OIX-UK,,General Member,,,,,,,,,
DNSSEC,IETF,,Organization for Group,,,,,,,,,
Digidentity,OIX-UK,,General Member,,,,,,,,,
Payment App API,Web Payments Working Group,,Specification of Group,,,,,,,,,
Social Security Administration,Electronic Verification of Vital Events (EVVE),,Customer of Service / Company,,,,,,,,,
European Commission,General Data Protection Regulation,,Author,,,,,,,,,
7th Framework Programme,Private Identity as a Service,,Funding Flow,,,,,,,,,
Barclays,OIX-UK,,Executive Member,,,,,,,,,
Domenico Catalano,UMA Profile of OAuth 2.o,,Author,,,,,,,,,
confyrm,OIX-UK,,General Member,,,,,,,,,
Rainer Hoerbe,Identity in the Cloud,,Person Affiliated,,,,,,,,,
THE COALITION FOR SENSIBLE PUBLIC RECORDS ACCESS,"Social Security Numbers, Public Records, and Identity Theft",,,,,,,,,,,
T2TRG Thing-to-Thing Research Group,Web of Things Interest Group,,Connection,,,,,,,,,
Privacy Considerations for Web Protocols,The Tracking Protection Working Group,,Specification of Group,,,,,,,,,
Secure Identity,Morpho (Safran Identity and Security),,Organization for Group,,,,,,,,,
UMA Profile of OAuth 2.o,User Managed Access,,Organization for Group,,,,,,,,,
IETF,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Office of the Australian Information Commissioner,The International Conference of Data Protection and Privacy Commissioners,,General Member,,,,,,,,,
IETF,Do Not Track: A Universal Third-Party Web Tracking Opt Out,,Specification of Group,,,,,,,,,
Nat Sakimura,OpenID Connect Discovery 1.0,,Author,,,,,,,,,
Security Controls and Services WG4,ISO/IEC JTC 1 / SC27 IT Security Techniques,,Organization for Group,,,,,,,,,
INC: Industry Numbering Committee,"ATIS   The Alliance for Telecommunications Industry Solutions, USA",,Organization for Group,,,,,,,,,
European Commission,Innovation and Networks Executive Agency,,Government Connection,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on Intelligent Video Analytics,,Author,,,,,,,,,
Communication: ICT Standardisation Priorities for the Digital Single Market,eIDAS,,Connection,,,,,,,,,
NEC Laboratories Europe,Trust in Digital Life,,General Member,,,,,,,,,
Web of Things Community Group,W3C,,Organization for Group,,,,,,,,,
Digital Catapult,UK Government,,Government Connection,,,,,,,,,
IEEE Technical Committee on Security and Privacy,38th IEEE Symposium on Security and Privacy,,Convenor,,,,,,,,,
Arhs Spikeseed,Future Trust,,General Member,,,,,,,,,
Consent Receipt Specification,Consent and Information Sharing Working  Group,,Specification of Group,,,,,,,,,
State of Virginia,Virginia Electronic Identity Management Act,,Author,,,,,,,,,
Identification cards – Contactless integrated circuit(s) cards – Proximity integrated circuit(s) cards (14443),Contactless Integrated Circuit(s) cards WG8,,Specification of Group,,,,,,,,,
The Internet Technical Advisory Committee,The Evolving Role of the Individual in Privacy Protection: 30 Years after the OECD Privacy Guidelines,,Convenor,,,,,,,,,
SDNRG Software-Defined Networking Research Group,Open Networking Foundation ONF,,Connection,,,,,,,,,
Harvard Medical School Department of Biomedical Informatics,Harvard,,Organization for Group,,,,,,,,,
Bern University of Applied Sciences,VoteID 2015,,Convenor,,,,,,,,,
NFVRG Network Function Virtualization Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
Machine Readable Travel Documents WG3,Doc 9303  Machine Readable Travel Documents,,Author,,,,,,,,,
Timpson,OIX-UK,,Executive Member,,,,,,,,,
MAPRG Measurement and Analysis for Protocols Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
e-SENS   Electronic Simple European Networked Services,CEF Building Blocks / CEF Digital Portal,,Connection,,,,,,,,,
PKCS 11 TC,OASIS,,Organization for Group,,,,,,,,,
NorStella - Foundation for e-Business and Trade Procedures,European Trust Foundation,,Executive Member,,,,,,,,,
eDelivery,eDelivery Introduction,,Author,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,Trust in Cyberspace,,Author,,,,,,,,,
CEF Building Blocks / CEF Digital Portal,eSignature,,Government Connection,,,,,,,,,
CEF Building Blocks / CEF Digital Portal,eTranslation,,,,,,,,,,,
David Singer,Tracking Preference Expression (DNT),,Author,,,,,,,,,
LDAP,Network Working Group,,Organization for Group,,,,,,,,,
EEMA,ISSE Information Security Solutions Europe,,Convenor,,,,,,,,,
Eve Maler,UMA Profile of OAuth 2.o,,Author,,,,,,,,,
Network Working Group,IETF,,Organization for Group,,,,,,,,,
"Department of Computer Science, Privacy and Security Group.",IFIP Summer School 2016,,Convenor,,,,,,,,,
Horizon 2020,"triedisec Trust-aware, REliable and Distributed Information SEcurity in the Cloud",,Funding Flow,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on the Use of Deep Packet Inspection for Marketing Purposes,,Author,,,,,,,,,
Issuer Identification Numbers (IINs)/Application Provider Identifiers (RIDs)Identification cards – Machine readable travel documents – Part 3: Official travel documents,Machine Readable Travel Documents WG3,,Specification of Group,,,,,,,,,
Government Digital Service,GOV.UK Verify,,Connection,,,,,,,,,
Alexandra Institute,ABC4Trust,,General Member,,,,,,,,,
Developing Countries Contact Group DCCG,ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
ICAO Technical Advisory Group on Traveller Identification Programme,ICAO,,Organization for Group,,,,,,,,,
Thomas Hardjono,UMA Profile of OAuth 2.o,,Author,,,,,,,,,
MONDRNA,OpenID Foundation,,Organization for Group,,,,,,,,,
"DG Connect European Commission's Directorate General for Communications Networks, Content & Technology",Annual Privacy Forum,,Convenor,,,,,,,,,
Global Identity Foundation,Paul Simmonds,,Employee,,,,,,,,,
Mike Jones,OpenID Connect Front-Channel Logout 1.0,,Author,,,,,,,,,
Netnod,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
"DEEDS - Dependable, Embedded Systems and Software",ABC4Trust,,General Member,,,,,,,,,
IDnext,European Trust Foundation,,Executive Member,,,,,,,,,
ETSI  The European Telecommunications Standards Institute,3rd Generation Partnership Project (3GPP),,Executive Member,,,,,,,,,
DoNotTrack.Us,The Tracking Protection Working Group,,Similar Efforts/Projects/Work,,,,,,,,,
John Bradley,OpenID Connect Core 1.0,,Author,,,,,,,,,
IEEE Future Directions Committee,IEEE Computer Society,,Organization for Group,,,,,,,,,
Financial transaction cards (7814),Financial Transaction Cards WG7,,Specification of Group,,,,,,,,,
OASIS,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
epSOS,EXPAND,,Connection,,,,,,,,,
Coordination Center for TLD RU (CC for TLD RU),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Identification cards – Optical memory cards (11693-5),Optical Memory Cards WG9,,Specification of Group,,,,,,,,,
7th Framework Programme,Horizon 2020,,Connection,,,,,,,,,
National Interoperability Framework Observatory (NIFO),NIFs Implementation and Monitoring State of Play 2015,,Author,,,,,,,,,
Linux Foundation,Internet Security Research Groups ISRG,,,,,,,,,,,
Identification cards – Contactless integrated circuit(s) cards – Vicinity cards  (15693),Contactless Integrated Circuit(s) cards WG8,,Specification of Group,,,,,,,,,
Microsoft France,Microsoft,,Organization for Group,,,,,,,,,
Tony Nadalin,Microsoft,,Employee,,,,,,,,,
Account Chooser,OpenID Foundation,,Organization for Group,,,,,,,,,
ANCI,ISO/IEC,,General Member,,,,,,,,,
Global Identity Foundation,Global Identity Foundation - Vision & Mission,,Author,,,,,,,,,
eDocuments,Secure Identity Alliance,,Organization for Group,,,,,,,,,
Working Party on Security and Privacy in the Digital Economy (WPSDE),OECD Committee on Digital Economy Policy,,Specification of Group,,,,,,,,,
FIDO 2.0: Signature format,Web Authentication,,Organization for Group,,,,,,,,,
Privacy Management Reference Model (PMRM),OASIS,,Organization for Group,,,,,,,,,
IEEE Internet of Things,Towards a definition of the Internet of  Things (IoT),,Author,,,,,,,,,
IEEE Future Directions Committee,IEEE Technology Time Machine,,Convenor,,,,,,,,,
SSEDIC.2020 - Scoping the Single European Digital Identity Community for the next decade,"Open, Identity Summit",,Convenor,,,,,,,,,
OAuth Dynamic Client Registration (RFC7591),OAuth WG,,Specification of Group,,,,,,,,,
State of Virginia,United States Government,,Government Connection,,,,,,,,,
"Security Evaluation, Testing and Specification WG3",ISO/IEC JTC 1 / SC27 IT Security Techniques,,Organization for Group,,,,,,,,,
Pam Dingle,OpenID AccountChooser Basic API Profile 1.0,,Author,,,,,,,,,
ULD - Unabhängiges Landeszentrum fur Datenschutz,ABC4Trust,,General Member,,,,,,,,,
OpenID Connect Profile for SCIM Services,AB/Connect Working Group,,Specification of Group,,,,,,,,,
Internet2,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Josh Mandel,Health Relationship Trust Profile for Fast Healthcare Interoperability Resources (FHIR) OAuth 2.0 Scopes,,Author,,,,,,,,,
Ministry of Interior Republic of Serbia,Future Trust,,General Member,,,,,,,,,
CA Technologies,OIX-UK,,Executive Member,,,,,,,,,
Community Resilience WG5,ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
Western Hemisphere Travel Initiative,US Customs and Boarder Protection,,Government Connection,,,,,,,,,
"TSDSI  Telecommunications Standards Development Society, Indiia",3rd Generation Partnership Project (3GPP),,Executive Member,,,,,,,,,
"ARIB  The Association of Radio Industries and Businesses, Japan",3rd Generation Partnership Project (3GPP),,Executive Member,,,,,,,,,
US Customs and Boarder Protection,USCIS US Citizenship and Immigration Services - Department of Homeland Security,,Government Connection,,,,,,,,,
N. Agarwal,Google,,Employee,,,,,,,,,
berlin Commissioner for Data Protection and Freedom of Information,German Government,,Government Connection,,,,,,,,,
European Commission,Connecting Europe Facility,,Government Connection,,,,,,,,,
FIDO 2.0: Web API for accessing FIDO 2.0 credentials,Web Authentication,,Organization for Group,,,,,,,,,
Ruhr-University Bochum,Future Trust,,General Member,,,,,,,,,
OASIS,Key Management Interoperability Protocol (KMIP),,Organization for Group,,,,,,,,,
Morpho (Safran Identity and Security),Secure Identity Alliance,,Executive Member,,,,,,,,,
Roy T. Fielding,Tracking Preference Expression (DNT),,Author,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on Cloud Computing - Privacy and data protection issues - “Sopot Memorandum”,,Author,,,,,,,,,
Horizon 2020,PRISMACLOUD,,Funding Flow,,grant agreement No 644962,,,,,,,
Motor Vehicle Drivers Licence and Related Documents WG10,ISO/IEC JTC1/SC17,,Organization for Group,,,,,,,,,
European Commission,Directorate-General for Informatics (DIGIT),,Government Connection,,,,,,,,,
HEART Working Group,OpenID Foundation,,Organization for Group,,,,,,,,,
Horizon 2020,STORK 2.0,,Funding Flow,,,,,,,,,
Information Security Management Systems WG1,ISO/IEC JTC 1 / SC27 IT Security Techniques,,Organization for Group,,,,,,,,,
"TTA  Telecommunications Technology Association, Korea",Global Standards Collaboration,,General Member,,,,,,,,,
OECD Committee on Digital Economy Policy,OECD (The Organisation for Economic Co-operation and Development),,Organization for Group,,,,,,,,,
Hannes Tschofenig,OAuth Security Workshop 2016,,Chair / Vice Chair,,,,,,,,,
eHealth Digital Service Infrastructure,OpenNPC,,Government Connection,,,,,,,,,
Eve Maler,UMA WG’s requirements and design principles,,Author,,,,,,,,,
Oberthur,Secure Identity Alliance,,Executive Member,,,,,,,,,
Nat Sakimura,OpenID Connect Core 1.0,,Author,,,,,,,,,
ICAO Technical Advisory Group on Traveller Identification Programme,Doc 9303  Machine Readable Travel Documents,,Author,,,,,,,,,
Goethe University: Frankfurt,Annual Privacy Forum,,Convenor,,,,,,,,,
Protective Security WG 6,ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
Alexandra Institute,Trust in Digital Life,,General Member,,,,,,,,,
U.S. Passport Verification Services (USPVS),American Association of Motor Vehicle Administrators,,Organization for Group,,,,,,,,,
Connecting Europe Facility,CEF Telecom,,Government Connection,,,,,,,,,
Identity Management in Electronic Commerce,Uniform Law Commission,,Organization for Group,,,,,,,,,
Fluffy: Simplified Key Exchange for Constrained Environments,ACE - Authentication and Authorization of Constrained Environments,,Organization for Group,,,,,,,,,
IETF,Internet Society ISOC,,Organization for Group,,,,,,,,,
Global Identity Foundation,Steve Moyle,,Employee,,,,,,,,,
Working Party on Communications and Infrastructure Services Policy (CISP),OECD Committee on Digital Economy Policy,,Specification of Group,,,,,,,,,
ICAO Technical Advisory Group on Traveller Identification Programme,Machine Readable Travel Documents Glossary,,Author,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,Engaging Privacy and Information Technology in a Digital Age,,Author,,,,,,,,,
UAF,FIDO Alliance,,Organization for Group,,,,,,,,,
Connecting Europe Facility CEF  Telecom Expert Group,CEF Telecom,,Government Connection,,,,,,,,,
Phil Hunt,Oracle,,Employee,,,,,,,,,
John Bradley,OpenID Connect Session Management 1.0,,Author,,,,,,,,,
Austrian Federal Ministry of Finance,Austrian Government,,Government Connection,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working paper on Transparency Reporting: Promoting accountability when governments access personal data held by companies,,Author,,,,,,,,,
Latin America and Caribbean Network Information Centre,Number Resource Organization (NRO),,General Member,,,,,,,,,
SWITCH,The Internet Technical Advisory Committee,,General Member,,,,,,,,http://www.switch.ch/,
Connecting Europe Facility,Open PEPPOL,,Funding Flow,,,,,,,,,
Open Identity Exchange,International Identity Law and Policy Workshop,,Convenor,,,,,,,,,
U2F,FIDO Alliance,,Organization for Group,,,,,,,,,
Mike Jones,Token Bound Authentication,,Author,,,,,,,,,
The Scientific & Technological Research Council of Turkey (TUBITAK),Future Trust,,General Member,,,,,,,,,
IEEE Standards Organization,Global Standards Collaboration,,General Member,,,,,,,,,
Future of Identity in the Information Society (FIDIS),HighTech ID,,Author,,,,,,,,,
IEEE Technical Committee on Security and Privacy,IEEE Computer Society,,Organization for Group,,,,,,,,,
JSON-LD,W3C,,Organization for Group,,,,,,,,,
international Association for Cryptologic Research,EuroCrypt 2017,,Convenor,,,,,,,,,
Virginia Identity Management Standards Advisory Council,State of Virginia,,Government Connection,,,,,,,,,
Telecommunications Industry Association (TIA),Global Standards Collaboration,,General Member,,,,,,,,,
GSMA,Digital Identity: Towards Shared Principles for Public and Private Sector Cooperation A joint World Bank Group – GSMA – Secure Identity Alliance Discussion Paper,,Author,,,,,,,,,
Identification cards – Recording technique (7910),Physical Characteristics and Test Methods WG1,,Specification of Group,,,,,,,,,
CBOR Web Token (CWT),ACE - Authentication and Authorization of Constrained Environments,,Organization for Group,,,,,,,,,
B. de Medeiros,OpenID Connect Session Management 1.0,,Author,,,,,,,,,
Telecommunications Industry Association (TIA),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
ISO/TC 292 Security and Resilience,ISO/IEC JTC1/SC17,,Connection,,,,,,,,,
T. Lodderstedt,MODRNA Registration,,Author,,,,,,,,,
IEEE Future Directions Committee,IEEE Cybersecurity Initiative,,Founder,,,,,,,,,
7th Framework Programme,ESSENCE,,Funding Flow,,,,,,,,,
MODRNA Discovery,MONDRNA,,Specification of Group,,,,,,,,,
Future of Identity in the Information Society (FIDIS),Profiling,,Author,,,,,,,,,
"ARIB  The Association of Radio Industries and Businesses, Japan",Global Standards Collaboration,,General Member,,,,,,,,,
M. Scurtescu,Google,,Employee,,,,,,,,,
OASIS,CloudAuthorization (CloudAuthZ),,Organization for Group,,,,,,,,,
SDNRG Software-Defined Networking Research Group,IEEE Standards Organization,,Connection,,,,,,,,,
Trustable Ltd.,Digital Signature Services eXtended (DSS-X) TC,,Founder,,,,,,,,,
"TTA  Telecommunications Technology Association, Korea",3rd Generation Partnership Project (3GPP),,Executive Member,,,,,,,,,
The Evolving Role of the Individual in Privacy Protection: 30 Years after the OECD Privacy Guidelines,The International Conference of Data Protection and Privacy Commissioners,,Connection,,,,,,,,,
Study Group 17,ISO/IEC,,Connection,,[This document articulates all the connections between the two.](http://www.itu.int/en/ITU-T/studygroups/2013-2016/17/Documents/reference-info/SG17-rels-ISO+IEC+ISOIECJTC1.doc),,,,,,,
Deutsche Telekom,Chair of Mobile Business & Multilateral Security,,Sponsor,,,,,,,,,
Records and Information from DMVs for E-Verify (RIDE),American Association of Motor Vehicle Administrators,,Organization for Group,,,,,,,,,
Eve Maler,User Managed Access,,Chair / Vice Chair,,,,,,,,,
Vyjayanti Desai,ID4D,,Employee,,,,,,,,,
B. Campbell,OAuth 2.0 Form Post Response Mode,,Author,,,,,,,,,
Vendorcom,European Trust Foundation,,Executive Member,,,,,,,,,